"","Ref_index","Region","Decade","Age.min","Age.max","Mean.Age","Cases","Deaths","CFR"
"1","31","SEAR",1960,0,4,2.5,198,29,14.6464646464646
"2","31","SEAR",1960,5,9,7.5,103,15,14.5631067961165
"3","31","SEAR",1960,10,80,45.5,40,2,5
"4","48","AMR",1960,1,1,1.5,1,1,100
"5","48","AMR",1960,2,2,2.5,1,0,0
"6","48","AMR",1960,3,3,3.5,2,0,0
"7","48","AMR",1960,4,4,4.5,2,0,0
"8","48","AMR",1960,5,5,5.5,1,0,0
"9","48","AMR",1960,6,6,6.5,2,1,50
"10","48","AMR",1960,7,7,7.5,3,2,66.6666666666667
"11","48","AMR",1960,8,8,8.5,2,0,0
"12","48","AMR",1960,10,10,10.5,2,0,0
"13","48","AMR",1960,12,12,12.5,1,0,0
"14","48","AMR",1960,19,19,19.5,1,0,0
"15","48","AMR",1960,40,50,45.5,1,1,100
"16","121","SEAR",1960,0,0,0.5,36,17,47.2222222222222
"17","121","SEAR",1960,1,2,2,39,12,30.7692307692308
"18","121","SEAR",1960,3,5,4.5,32,5,15.625
"19","121","SEAR",1960,6,10,8.5,12,3,25
"20","121","SEAR",1960,11,15,13.5,1,0,0
"52","345","NIS",1990,1,4,3,10,0,0
"53","345","NIS",1990,5,14,10,33,6,18.1818181818182
"54","345","NIS",1990,15,19,17.5,6,0,0
"55","345","NIS",1990,20,29,25,5,1,20
"56","345","NIS",1990,30,39,35,15,0,0
"57","345","NIS",1990,40,49,45,9,3,33.3333333333333
"58","345","NIS",1990,50,59,55,3,1,33.3333333333333
"59","345","NIS",1990,60,60,60.5,3,1,33.3333333333333
"60","14","SEAR",2000,11,11,11.5,1,0,0
"61","14","SEAR",2000,13,13,13.5,2,1,50
"62","14","SEAR",2000,15,15,15.5,1,0,0
"63","14","SEAR",2000,17,17,17.5,1,1,100
"64","14","SEAR",2000,18,18,18.5,1,0,0
"65","14","SEAR",2000,20,20,20.5,2,0,0
"66","14","SEAR",2000,30,30,30.5,1,0,0
"67","14","SEAR",2000,65,65,65.5,1,0,0
"68","347","EUR",1940,0,0,0.5,12,7,58.3333333333333
"69","347","EUR",1940,2,2,2.5,30,8,26.6666666666667
"70","347","EUR",1940,3,3,3.5,14,2,14.2857142857143
"71","347","EUR",1940,4,4,4.5,4,0,0
"72","347","EUR",1940,5,5,5.5,1,0,0
"73","347","EUR",1940,6,6,6.5,1,1,100
"74","347","EUR",1940,7,7,7.5,3,0,0
"76","347","EUR",1940,9,9,9.5,1,0,0
"92","339","NIS",1990,0,0,0.5,7,2,28.5714285714286
"93","339","NIS",1990,1,4,3,166,36,21.6867469879518
"94","339","NIS",1990,5,14,10,967,175,18.0972078593588
"95","339","NIS",1990,15,19,17.5,313,30,9.58466453674121
"96","339","NIS",1990,20,29,25,377,28,7.42705570291777
"97","339","NIS",1990,30,39,35,263,11,4.18250950570342
"98","339","NIS",1990,40,49,45,61,4,6.55737704918033
"99","339","NIS",1990,50,59,55,15,0,0
"100","339","NIS",1990,60,60,60.5,1,0,0
"105","338","NIS",1990,0,4,2.5,42,4,9.52380952380952
"106","338","NIS",1990,5,14,10,210,4,1.9047619047619
"107","338","NIS",1990,15,19,17.5,118,0,0
"108","338","NIS",1990,20,29,25,161,1,0.62111801242236
"109","338","NIS",1990,30,39,35,202,5,2.47524752475248
"110","338","NIS",1990,40,49,45,179,11,6.14525139664804
"111","338","NIS",1990,50,59,55,45,1,2.22222222222222
"112","338","NIS",1990,60,80,70.5,8,0,0
"113","15","SEAR",1990,0,4,2.5,26,0,0
"114","15","SEAR",1990,5,9,7.5,52,0,0
"115","15","SEAR",1990,10,14,12.5,19,0,0
"116","15","SEAR",1990,15,80,48,3,0,0
"121","185","AMR",1960,0,4,2.5,19,3,15.7894736842105
"122","185","AMR",1960,5,9,7.5,10,0,0
