"","Decade","Region","variable","value"
"1",1940,"AMR","CFR.non",9.8
"2",1950,"AMR","CFR.non",2.4
"3",1920,"AMR","CFR.non",7.5
"4",1960,"AMR","CFR.non",45.5
"5",1980,"EUR","CFR.non",37.5
"7",1960,"AMR","CFR.non",10
"9",2010,"SEAR","CFR.non",38.1
"10",1960,"AMR","CFR.non",13
"11",1990,"NIS","CFR.non",13
"12",2000,"NIS","CFR.non",26.3
"13",1970,"EMR","CFR.non",54.6
"14",1990,"SEAR","CFR.non",8.8
"16",NA,NA,"CFR.non",11.9
"17",1940,"AMR","CFR.partial",7.5
"18",1950,"AMR","CFR.partial",0
"20",1960,"AMR","CFR.partial",0
"23",1960,"AMR","CFR.partial",0
"24",2010,"AMR","CFR.partial",12.5
"25",2010,"SEAR","CFR.partial",100
"26",1960,"AMR","CFR.partial",4.2
"27",1990,"NIS","CFR.partial",4.9
"28",2000,"NIS","CFR.partial",0
"29",1970,"EMR","CFR.partial",0
"32",NA,NA,"CFR.partial",4.6
"33",1940,"AMR","CFR.full",2.9
"34",1950,"AMR","CFR.full",0
"35",1920,"AMR","CFR.full",4.2
"36",1960,"AMR","CFR.full",0
"37",1980,"EUR","CFR.full",0
"38",2000,"AMR","CFR.full",10
"40",2010,"AMR","CFR.full",11.8
"41",2010,"SEAR","CFR.full",60
"42",1960,"AMR","CFR.full",2.3
"43",1990,"NIS","CFR.full",0.5
"44",2000,"NIS","CFR.full",0.1
"45",1970,"EMR","CFR.full",32.7
"46",1990,"SEAR","CFR.full",3.2
"48",NA,NA,"CFR.full",1.3
