"","Study","Ref_index","Location","Country","Outbreak","Region","Years","Year.Mid","Decade","Age.group","Age.min","Age.max","Mean.Age","Antitoxin","Cases","Carriers","Deaths","CFR","CFR.Confid","Percent.of.Cases","Author"
"1","Mathur 1973","31","AjEMR, India","India","Outbreak","SEAR","1961-1970",1965,1960,"0-4",0,4,2.5,NA,198,NA,29,0.15,"0.097-0.196",NA,"Mathur 1973"
"2","Mathur 1973","31","AjEMR, India","India","Outbreak","SEAR","1961-1970",1965,1960,"5-9",5,9,7.5,NA,103,NA,15,0.15,"0.078-0.214",NA,"Mathur 1973"
"3","Mathur 1973","31","AjEMR, India","India","Outbreak","SEAR","1961-1970",1965,1960,"≥10",10,80,45.5,NA,40,NA,2,0.05,"-0.018-0.118",NA,"Mathur 1973"
"4","Sinclair et al. 1971","48","Alabama","United States",NA,"AMR","1967",1967,1960,"1",1,1,1.5,NA,1,NA,1,1,"1-1",NA,"Sinclair et al. 1971"
"5","Sinclair et al. 1971","48","Alabama","United States",NA,"AMR","1967",1967,1960,"2",2,2,2.5,NA,1,NA,0,0,"0-0",NA,"Sinclair et al. 1971"
"6","Sinclair et al. 1971","48","Alabama","United States",NA,"AMR","1967",1967,1960,"3",3,3,3.5,NA,2,NA,0,0,"0-0",NA,"Sinclair et al. 1971"
"7","Sinclair et al. 1971","48","Alabama","United States",NA,"AMR","1967",1967,1960,"4",4,4,4.5,NA,2,NA,0,0,"0-0",NA,"Sinclair et al. 1971"
"8","Sinclair et al. 1971","48","Alabama","United States",NA,"AMR","1967",1967,1960,"5",5,5,5.5,NA,1,NA,0,0,"0-0",NA,"Sinclair et al. 1971"
"9","Sinclair et al. 1971","48","Alabama","United States",NA,"AMR","1967",1967,1960,"6",6,6,6.5,NA,2,NA,1,0.5,"-0.193-1.193",NA,"Sinclair et al. 1971"
"10","Sinclair et al. 1971","48","Alabama","United States",NA,"AMR","1967",1967,1960,"7",7,7,7.5,NA,3,NA,2,0.67,"0.133-1.2",NA,"Sinclair et al. 1971"
"11","Sinclair et al. 1971","48","Alabama","United States",NA,"AMR","1967",1967,1960,"8",8,8,8.5,NA,2,NA,0,0,"0-0",NA,"Sinclair et al. 1971"
"12","Sinclair et al. 1971","48","Alabama","United States",NA,"AMR","1967",1967,1960,"10",10,10,10.5,NA,2,NA,0,0,"0-0",NA,"Sinclair et al. 1971"
"13","Sinclair et al. 1971","48","Alabama","United States",NA,"AMR","1967",1967,1960,"12",12,12,12.5,NA,1,NA,0,0,"0-0",NA,"Sinclair et al. 1971"
"14","Sinclair et al. 1971","48","Alabama","United States",NA,"AMR","1967",1967,1960,"19",19,19,19.5,NA,1,NA,0,0,"0-0",NA,"Sinclair et al. 1971"
