"row","case","Study","Location","Year","Dose","Age.min","Age.max","Cases_total","Controls","Population","Dose013","AgeGroup3"
1,1,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,1,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,1,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,1,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,1,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,1,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,1,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,1,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,1,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,1,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,1,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,1,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,1,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,1,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,0,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,0,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,0,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,0,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,0,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,0,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,0,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,0,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,0,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,0,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,0,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,0,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,0,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,0,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,0,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,0,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,0,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,0,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,0,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
1,0,"Bisgard2000","Russia",1993,"0",0,2,14,20,"Russia 1993","None","0-4y"
2,1,"Bisgard2000","Russia",1993,"0",3,4,18,6,"Russia 1993","None","0-4y"
2,1,"Bisgard2000","Russia",1993,"0",3,4,18,6,"Russia 1993","None","0-4y"
2,1,"Bisgard2000","Russia",1993,"0",3,4,18,6,"Russia 1993","None","0-4y"
2,1,"Bisgard2000","Russia",1993,"0",3,4,18,6,"Russia 1993","None","0-4y"
2,1,"Bisgard2000","Russia",1993,"0",3,4,18,6,"Russia 1993","None","0-4y"
2,1,"Bisgard2000","Russia",1993,"0",3,4,18,6,"Russia 1993","None","0-4y"
2,1,"Bisgard2000","Russia",1993,"0",3,4,18,6,"Russia 1993","None","0-4y"
2,1,"Bisgard2000","Russia",1993,"0",3,4,18,6,"Russia 1993","None","0-4y"
2,1,"Bisgard2000","Russia",1993,"0",3,4,18,6,"Russia 1993","None","0-4y"
2,1,"Bisgard2000","Russia",1993,"0",3,4,18,6,"Russia 1993","None","0-4y"
2,1,"Bisgard2000","Russia",1993,"0",3,4,18,6,"Russia 1993","None","0-4y"
2,1,"Bisgard2000","Russia",1993,"0",3,4,18,6,"Russia 1993","None","0-4y"
2,1,"Bisgard2000","Russia",1993,"0",3,4,18,6,"Russia 1993","None","0-4y"
2,1,"Bisgard2000","Russia",1993,"0",3,4,18,6,"Russia 1993","None","0-4y"
2,1,"Bisgard2000","Russia",1993,"0",3,4,18,6,"Russia 1993","None","0-4y"
2,1,"Bisgard2000","Russia",1993,"0",3,4,18,6,"Russia 1993","None","0-4y"
2,1,"Bisgard2000","Russia",1993,"0",3,4,18,6,"Russia 1993","None","0-4y"
2,1,"Bisgard2000","Russia",1993,"0",3,4,18,6,"Russia 1993","None","0-4y"
2,0,"Bisgard2000","Russia",1993,"0",3,4,18,6,"Russia 1993","None","0-4y"
2,0,"Bisgard2000","Russia",1993,"0",3,4,18,6,"Russia 1993","None","0-4y"
2,0,"Bisgard2000","Russia",1993,"0",3,4,18,6,"Russia 1993","None","0-4y"
2,0,"Bisgard2000","Russia",1993,"0",3,4,18,6,"Russia 1993","None","0-4y"
2,0,"Bisgard2000","Russia",1993,"0",3,4,18,6,"Russia 1993","None","0-4y"
2,0,"Bisgard2000","Russia",1993,"0",3,4,18,6,"Russia 1993","None","0-4y"
3,1,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,1,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,1,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,1,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,1,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,1,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,1,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,1,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,1,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,1,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,1,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,1,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,1,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,1,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,1,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,1,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
4,1,"Bisgard2000","Russia",1993,"1",0,2,1,16,"Russia 1993","Partial","0-4y"
4,0,"Bisgard2000","Russia",1993,"1",0,2,1,16,"Russia 1993","Partial","0-4y"
4,0,"Bisgard2000","Russia",1993,"1",0,2,1,16,"Russia 1993","Partial","0-4y"
4,0,"Bisgard2000","Russia",1993,"1",0,2,1,16,"Russia 1993","Partial","0-4y"
4,0,"Bisgard2000","Russia",1993,"1",0,2,1,16,"Russia 1993","Partial","0-4y"
