"Study","Location","Year","Ref_index","Dose","Type","Age.min","Age.max","Cases_total","Mild","Moderate","Severe Cases","Carriers","N.at.risk","Controls","Time.since.vacc","VE.orenstein","Conditional.logistic","VE (i.e.1-OR)","VE group","Odds","OR","X23","95%CI"
"Bisgard2000","Russia",1993,NA,"0","CC",0,2,14,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bisgard2000","Russia",1993,NA,"0","CC",3,4,18,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bisgard2000","Russia",1993,NA,"0","CC",6,14,16,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bisgard2000","Russia",1993,NA,"1","CC",0,2,1,NA,NA,NA,NA,NA,16,NA,NA,NA,0.9107142857,0.8984375,NA,"0.08928571429",0.1015625,NA
"Bisgard2000","Russia",1993,NA,"1","CC",3,4,2,NA,NA,NA,NA,NA,8,NA,NA,NA,0.9166666667,NA,NA,"0.08333333333",NA,NA
"Bisgard2000","Russia",1993,NA,"1","CC",6,14,3,NA,NA,NA,NA,NA,10,NA,NA,NA,0.7375,NA,NA,"0.2625",NA,NA
"Bisgard2000","Russia",1993,NA,"2","CC",0,2,0,NA,NA,NA,NA,NA,45,NA,NA,NA,1,0.9402573529,NA,"0",0.05974264706,NA
"Bisgard2000","Russia",1993,NA,"2","CC",3,4,5,NA,NA,NA,NA,NA,23,NA,NA,NA,0.9275362319,NA,NA,"0.07246376812",NA,NA
"Bisgard2000","Russia",1993,NA,"2","CC",6,14,2,NA,NA,NA,NA,NA,29,NA,NA,NA,0.9396551724,NA,NA,"0.06034482759",NA,NA
"Bisgard2000","Russia",1993,NA,"3","CC",0,2,7,NA,NA,NA,NA,NA,120,NA,NA,NA,0.9166666667,0.9412234043,NA,"0.08333333333",0.05877659574,NA
"Bisgard2000","Russia",1993,NA,"3","CC",3,4,10,NA,NA,NA,NA,NA,115,NA,NA,NA,0.9710144928,NA,NA,"0.02898550725",NA,NA
"Bisgard2000","Russia",1993,NA,"3","CC",6,14,39,NA,NA,NA,NA,NA,257,NA,NA,NA,0.8672178988,NA,NA,"0.1327821012",NA,NA
"Bisgard2000","Russia",1993,NA,"4","CC",0,2,0,NA,NA,NA,NA,NA,15,NA,NA,NA,1,NA,NA,"0",NA,NA
"Bisgard2000","Russia",1993,NA,"4","CC",3,4,8,NA,NA,NA,NA,NA,275,NA,NA,NA,0.9903030303,NA,NA,"0.009696969697",NA,NA
"Bisgard2000","Russia",1993,NA,"4","CC",6,14,64,NA,NA,NA,NA,NA,747,NA,NA,NA,0.9250334672,NA,NA,"0.0749665328",NA,NA
"Bisgard2000","Russia",1993,NA,"5","CC",0,2,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bisgard2000","Russia",1993,NA,"5","CC",3,4,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bisgard2000","Russia",1993,NA,"5","CC",6,14,25,NA,NA,NA,NA,NA,388,NA,NA,NA,0.943621134,NA,NA,"0.05637886598",NA,NA
"Bisgard2000","Russia",1993,NA,"6","CC",0,2,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
