"Ref","Location","Country","Region","Decade","Year.Mid","Age.min","Age.max","Mean.Age","Cases","Deaths","CFR","Age.years"
"31","AjEMR, India","India","SEAR",1960,1965,0,4,2.5,198,29,0.146464646464646,5
"31","AjEMR, India","India","SEAR",1960,1965,5,9,7.5,103,15,0.145631067961165,5
"31","AjEMR, India","India","SEAR",1960,1965,10,80,45.5,40,2,0.05,71
"48","Alabama","United States","AMR",1960,1967,1,1,1.5,1,1,1,1
"48","Alabama","United States","AMR",1960,1967,2,2,2.5,1,0,0,1
"48","Alabama","United States","AMR",1960,1967,3,3,3.5,2,0,0,1
"48","Alabama","United States","AMR",1960,1967,4,4,4.5,2,0,0,1
"48","Alabama","United States","AMR",1960,1967,5,5,5.5,1,0,0,1
"48","Alabama","United States","AMR",1960,1967,6,6,6.5,2,1,0.5,1
"48","Alabama","United States","AMR",1960,1967,7,7,7.5,3,2,0.666666666666667,1
"48","Alabama","United States","AMR",1960,1967,8,8,8.5,2,0,0,1
"48","Alabama","United States","AMR",1960,1967,10,10,10.5,2,0,0,1
"48","Alabama","United States","AMR",1960,1967,12,12,12.5,1,0,0,1
"48","Alabama","United States","AMR",1960,1967,19,19,19.5,1,0,0,1
"48","Alabama","United States","AMR",1960,1967,40,50,45.5,1,1,1,11
"121","Allahabad, India","India","SEAR",1960,1969,0,0,0.5,36,17,0.472222222222222,1
"121","Allahabad, India","India","SEAR",1960,1969,1,2,2,39,12,0.307692307692308,2
"121","Allahabad, India","India","SEAR",1960,1969,3,5,4.5,32,5,0.15625,3
"121","Allahabad, India","India","SEAR",1960,1969,6,10,8.5,12,3,0.25,5
"121","Allahabad, India","India","SEAR",1960,1969,11,15,13.5,1,0,0,5
"345","Armenia","Armenia","NIS",1990,1993,1,4,3,10,0,0,4
"345","Armenia","Armenia","NIS",1990,1993,5,14,10,33,6,0.181818181818182,10
"345","Armenia","Armenia","NIS",1990,1993,15,19,17.5,6,0,0,5
"345","Armenia","Armenia","NIS",1990,1993,20,29,25,5,1,0.2,10
"345","Armenia","Armenia","NIS",1990,1993,30,39,35,15,0,0,10
"345","Armenia","Armenia","NIS",1990,1993,40,49,45,9,3,0.333333333333333,10
"345","Armenia","Armenia","NIS",1990,1993,50,59,55,3,1,0.333333333333333,10
"345","Armenia","Armenia","NIS",1990,1993,60,60,60.5,3,1,0.333333333333333,1
"14","Assam, India","India","SEAR",2000,2009,11,11,11.5,1,0,0,1
"14","Assam, India","India","SEAR",2000,2009,13,13,13.5,2,1,0.5,1
"14","Assam, India","India","SEAR",2000,2009,15,15,15.5,1,0,0,1
