"Study","Ref_index","Year","Treatment","Dose","TotalDose","DurationTreatment","Antitoxin","Case","carr.min","carr.max","Num.start","Num.convert","Percent converting ot culture negative","Percent.total.clear","Note"
"Bixby 1948",779,"1948","none",NA,NA,NA,1,"Case",1,14,88,35,0.398,0.398,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Carrier",1,2,61,2,0.033,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Carrier",2,3,59,6,0.102,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Carrier",3,4,53,9,0.17,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Carrier",4,5,44,11,0.25,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Carrier",5,6,33,8,0.242,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,0,"Carrier",6,7,25,2,0.08,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,0,"Carrier",7,8,23,7,0.304,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,0,"Carrier",8,9,16,1,0.063,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,0,"Carrier",9,10,15,2,0.133,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,0,"Carrier",10,11,13,0,0,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,0,"Carrier",11,12,13,2,0.154,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,0,"Carrier",12,13,11,2,0.182,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,0,"Carrier",13,14,9,2,0.222,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,0,"Carrier",14,15,7,1,0.143,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,0,"Carrier",15,20,6,4,0.667,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,0,"Carrier",20,35,2,1,0.5,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,0,"Carrier",35,45,1,0,0,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,0,"Carrier",45,50,1,1,1,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Case",1,2,40,4,0.1,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Case",2,3,36,1,0.028,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Case",3,4,35,5,0.143,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Case",4,5,30,3,0.1,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Case",5,6,27,1,0.037,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Case",6,7,26,1,0.038,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Case",7,8,25,3,0.12,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Case",8,9,22,0,0,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Case",9,10,22,5,0.227,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Case",10,11,17,1,0.059,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Case",11,12,16,2,0.125,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Case",12,13,14,0,0,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Case",13,14,14,1,0.071,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Case",14,15,13,3,0.231,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Case",15,16,10,1,0.1,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Case",16,17,9,2,0.222,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Case",17,18,7,2,0.286,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Case",18,19,5,0,0,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Case",19,20,5,0,0,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Case",20,21,5,0,0,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Case",21,22,5,1,0.2,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Case",22,23,4,1,0.25,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Case",23,24,3,1,0.333,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Case",24,25,2,0,0,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Case",25,26,2,1,0.5,NA,NA
"Reilly 1900",NA,"1900","none",NA,NA,NA,1,"Case",26,27,1,1,1,NA,NA
"Weaver 1921",NA,"1921","none",NA,NA,NA,0,"Carrier",0,5,52,17,0.327,NA,NA
"Weaver 1921",NA,"1921","none",NA,NA,NA,0,"Carrier",6,10,35,9,0.257,NA,NA
"Weaver 1921",NA,"1921","none",NA,NA,NA,0,"Carrier",11,15,26,4,0.154,NA,NA
"Weaver 1921",NA,"1921","none",NA,NA,NA,0,"Carrier",16,20,22,3,0.136,NA,NA
"Weaver 1921",NA,"1921","none",NA,NA,NA,0,"Carrier",21,25,19,7,0.368,NA,NA
