"Ref_index","Study","Location","Year.Mid","Age.min","Age.max","n.Suscept","n.Basic","n.Full","n.NotFull","N.age","N","prct.Full1","prct.Suscept","prct.Basic","prct.Full"
25,NA,"France",1994,15,24,4,11,93,15,108,NA,NA,0.037037037037037,0.101851851851852,0.861111111111111
25,NA,"France",1994,25,34,13,28,111,41,152,NA,NA,0.0855263157894737,0.184210526315789,0.730263157894737
25,NA,"France",1994,35,44,26,42,55,68,123,NA,NA,0.211382113821138,0.341463414634146,0.447154471544715
25,NA,"France",1994,45,54,17,48,46,65,111,NA,NA,0.153153153153153,0.432432432432432,0.414414414414414
25,NA,"France",1994,55,64,11,32,55,43,98,NA,NA,0.112244897959184,0.326530612244898,0.561224489795918
25,NA,"France",1994,65,74,48,48,52,96,148,NA,NA,0.324324324324324,0.324324324324324,0.351351351351351
25,NA,"France",1994,75,84,44,55,50,99,149,NA,NA,0.295302013422819,0.369127516778524,0.335570469798658
25,NA,"France",1994,85,90,41,40,34,81,115,NA,NA,0.356521739130435,0.347826086956522,0.295652173913043
47,NA,"Spain",1996,2,5,NA,NA,NA,NA,439,NA,95.6,NA,NA,0.956
47,NA,"Spain",1996,6,9,NA,NA,NA,NA,454,NA,96.7,NA,NA,0.967
47,NA,"Spain",1996,10,14,NA,NA,NA,NA,472,NA,86.1,NA,NA,0.861
47,NA,"Spain",1996,14,19,NA,NA,NA,NA,502,NA,67,NA,NA,0.67
47,NA,"Spain",1996,15,24,NA,NA,NA,NA,516,NA,58.7,NA,NA,0.587
47,NA,"Spain",1996,25,29,NA,NA,NA,NA,516,NA,59.5,NA,NA,0.595
47,NA,"Spain",1996,30,39,NA,NA,NA,NA,528,NA,32.3,NA,NA,0.323
168,NA,"Italy",1996,0,1,93,31,77,92,169,NA,NA,0.550295857988166,0.183431952662722,0.455621301775148
168,NA,"Italy",1996,2,9,36,158,342,387,729,NA,NA,0.0493827160493827,0.216735253772291,0.469135802469136
168,NA,"Italy",1996,10,19,130,213,213,626,839,NA,NA,0.154946364719905,0.253873659117998,0.253873659117998
168,NA,"Italy",1996,20,29,36,126,205,200,405,NA,NA,0.0888888888888889,0.311111111111111,0.506172839506173
168,NA,"Italy",1996,30,34,22,60,78,97,175,NA,NA,0.125714285714286,0.342857142857143,0.445714285714286
168,NA,"Italy",1996,35,39,30,75,68,114,182,NA,NA,0.164835164835165,0.412087912087912,0.373626373626374
168,NA,"Italy",1996,40,44,30,47,30,81,111,NA,NA,0.27027027027027,0.423423423423423,0.27027027027027
168,NA,"Italy",1996,45,49,28,38,25,68,93,NA,NA,0.301075268817204,0.408602150537634,0.268817204301075
168,NA,"Italy",1996,50,54,30,39,31,70,101,NA,NA,0.297029702970297,0.386138613861386,0.306930693069307
168,NA,"Italy",1996,55,59,25,53,13,84,97,NA,NA,0.257731958762887,0.54639175257732,0.134020618556701
168,NA,"Italy",1996,60,80,28,100,56,154,210,NA,NA,0.133333333333333,0.476190476190476,0.266666666666667
210,NA,"Flanders",1993,0,14,1,23,123,24,147,NA,NA,0.00680272108843537,0.156462585034014,0.836734693877551
210,NA,"Flanders",1993,15,24,19,65,114,84,198,NA,NA,0.095959595959596,0.328282828282828,0.575757575757576
210,NA,"Flanders",1993,24,34,93,92,103,185,288,NA,NA,0.322916666666667,0.319444444444444,0.357638888888889
210,NA,"Flanders",1993,35,44,179,64,66,243,309,NA,NA,0.579288025889968,0.207119741100324,0.213592233009709
210,NA,"Flanders",1993,45,54,121,48,49,169,218,NA,NA,0.555045871559633,0.220183486238532,0.224770642201835
210,NA,"Flanders",1993,55,64,84,81,103,165,268,NA,NA,0.313432835820896,0.302238805970149,0.384328358208955
210,NA,"Flanders",1993,65,80,107,62,82,169,251,NA,NA,0.426294820717131,0.247011952191235,0.326693227091633
171,NA,"Thailand",1977,5,9,NA,NA,3,0,3,NA,NA,NA,NA,1
171,NA,"Thailand",1977,10,14,NA,NA,42,22,64,NA,NA,NA,NA,0.65625
171,NA,"Thailand",1977,15,19,NA,NA,41,12,53,NA,NA,NA,NA,0.773584905660377
171,NA,"Thailand",1977,20,80,NA,NA,68,5,73,NA,NA,NA,NA,0.931506849315068
171,NA,"Thailand",1978,5,9,NA,NA,30,24,54,NA,NA,NA,NA,0.555555555555556
171,NA,"Thailand",1978,10,14,NA,NA,63,23,86,NA,NA,NA,NA,0.732558139534884
171,NA,"Thailand",1979,0,4,NA,NA,7,7,14,NA,NA,NA,NA,0.5
171,NA,"Thailand",1979,5,9,NA,NA,45,28,73,NA,NA,NA,NA,0.616438356164384
171,NA,"Thailand",1979,10,14,NA,NA,122,32,154,NA,NA,NA,NA,0.792207792207792
171,NA,"Thailand",1979,15,19,NA,NA,5,2,7,NA,NA,NA,NA,0.714285714285714
171,NA,"Thailand",1979,20,80,NA,NA,47,15,62,NA,NA,NA,NA,0.758064516129032
171,NA,"Thailand",1982,20,80,NA,NA,48,4,52,NA,NA,NA,NA,0.923076923076923
174,NA,"Italy",1996,14,14,6,119,386,115,501,NA,NA,0.0119760479041916,0.2375249500998,0.770459081836327
174,NA,"Italy",1996,20,30,109,163,217,273,490,NA,NA,0.222448979591837,0.33265306122449,0.442857142857143
183,NA,"Med Students in Malaysia",2008,18,20,0,0,3,0,3,NA,NA,0,0,1
183,NA,"Med Students in Malaysia",2008,20,29,0,34,98,34,132,NA,NA,0,0.257575757575758,0.742424242424242
183,NA,"Med Students in Malaysia",2008,30,39,0,0,14,0,14,NA,NA,0,0,1
183,NA,"Med Students in Malaysia",2008,40,80,0,0,3,0,3,NA,NA,0,0,1
213,NA,"New Zealand",1988,5,5,NA,NA,NA,857,857,NA,72.7,NA,NA,0.727
213,NA,"New Zealand",1988,10,10,NA,NA,NA,913,913,NA,64.6,NA,NA,0.646
213,NA,"New Zealand",1988,15,15,NA,NA,NA,868,868,NA,55.8,NA,NA,0.558
215,NA,"Albanians",1999,22,29,NA,NA,64,44,108,NA,NA,NA,NA,0.592592592592593
215,NA,"Albanians",1999,30,39,NA,NA,80,59,139,NA,NA,NA,NA,0.575539568345324
215,NA,"Albanians",1999,40,46,NA,NA,23,16,39,NA,NA,NA,NA,0.58974358974359
215,NA,"NIS",1999,22,29,NA,NA,22,59,81,NA,NA,NA,NA,0.271604938271605
215,NA,"NIS",1999,30,39,NA,NA,27,64,91,NA,NA,NA,NA,0.296703296703297
215,NA,"NIS",1999,40,46,NA,NA,11,9,20,NA,NA,NA,NA,0.55
215,NA,"Greeks",1999,22,29,NA,NA,55,197,252,NA,NA,NA,NA,0.218253968253968
215,NA,"Greeks",1999,30,39,NA,NA,76,228,304,NA,NA,NA,NA,0.25
215,NA,"Greeks",1999,40,46,NA,NA,54,128,182,NA,NA,NA,NA,0.296703296703297
216,NA,"Turkey",1997,3,6,66,12,52,78,130,NA,NA,0.507692307692308,0.0923076923076923,0.4
216,NA,"Turkey",1997,10,19,67,29,38,96,134,NA,NA,0.5,0.216417910447761,0.283582089552239
216,NA,"Turkey",1997,20,29,83,34,25,117,142,NA,NA,0.584507042253521,0.23943661971831,0.176056338028169
216,NA,"Turkey",1997,30,39,69,32,37,101,138,NA,NA,0.5,0.231884057971014,0.268115942028986
216,NA,"Turkey",1997,40,49,62,20,42,82,124,NA,NA,0.5,0.161290322580645,0.338709677419355
216,NA,"Turkey",1997,50,59,1,16,39,17,56,NA,NA,0.0178571428571429,0.285714285714286,0.696428571428571
