"Ref_index","Study","Location","Year","Time_since_vacc_month","Time_since_vacc_year","N","no.protected","prop_protected"
108,"McIntyre 2009","Sweden","2008","Pre",NA,234,197,0.842
108,"McIntyre 2009","Sweden","2008","1",NA,239,239,1
108,"McIntyre 2009","Sweden","2008","12",NA,29,28,0.966
108,"McIntyre 2009","Sweden","2008","24",NA,240,238,0.992
108,"McIntyre 2009","Sweden","2008","36",NA,239,234,0.979
108,"McIntyre 2009","Sweden","2008","48",NA,240,226,0.942
108,"McIntyre 2009","Sweden","2008","60",NA,232,219,0.944
780,"Grasse 2016","Austria","2010-2015","26",2.21,1,1,NA
780,"Grasse 2016","Austria","2010-2015","26",2.21,1,1,NA
780,"Grasse 2016","Austria","2010-2015","26",2.21,1,1,NA
780,"Grasse 2016","Austria","2010-2015","41",3.38,1,1,NA
780,"Grasse 2016","Austria","2010-2015","41",3.38,1,1,NA
780,"Grasse 2016","Austria","2010-2015","41",3.38,1,1,NA
780,"Grasse 2016","Austria","2010-2015","41",3.38,1,1,NA
780,"Grasse 2016","Austria","2010-2015","41",3.38,1,0,NA
780,"Grasse 2016","Austria","2010-2015","41",3.44,1,1,NA
780,"Grasse 2016","Austria","2010-2015","41",3.44,1,1,NA
780,"Grasse 2016","Austria","2010-2015","41",3.44,1,1,NA
780,"Grasse 2016","Austria","2010-2015","41",3.44,1,1,NA
780,"Grasse 2016","Austria","2010-2015","41",3.44,1,1,NA
780,"Grasse 2016","Austria","2010-2015","56",4.68,1,0,NA
780,"Grasse 2016","Austria","2010-2015","56",4.68,1,0,NA
780,"Grasse 2016","Austria","2010-2015","57",4.74,1,1,NA
780,"Grasse 2016","Austria","2010-2015","57",4.74,1,1,NA
780,"Grasse 2016","Austria","2010-2015","57",4.74,1,1,NA
780,"Grasse 2016","Austria","2010-2015","57",4.74,1,0,NA
780,"Grasse 2016","Austria","2010-2015","57",4.74,1,0,NA
780,"Grasse 2016","Austria","2010-2015","71",5.91,1,0,NA
780,"Grasse 2016","Austria","2010-2015","72",5.97,1,1,NA
780,"Grasse 2016","Austria","2010-2015","72",5.97,1,1,NA
780,"Grasse 2016","Austria","2010-2015","72",6.04,1,0,NA
780,"Grasse 2016","Austria","2010-2015","72",6.04,1,0,NA
780,"Grasse 2016","Austria","2010-2015","86",7.21,1,1,NA
780,"Grasse 2016","Austria","2010-2015","86",7.21,1,0,NA
780,"Grasse 2016","Austria","2010-2015","87",7.27,1,1,NA
780,"Grasse 2016","Austria","2010-2015","102",8.51,1,1,NA
780,"Grasse 2016","Austria","2010-2015","102",8.51,1,1,NA
780,"Grasse 2016","Austria","2010-2015","102",8.51,1,1,NA
780,"Grasse 2016","Austria","2010-2015","117",9.74,1,1,NA
780,"Grasse 2016","Austria","2010-2015","117",9.74,1,1,NA
780,"Grasse 2016","Austria","2010-2015","117",9.74,1,0,NA
780,"Grasse 2016","Austria","2010-2015","132",10.97,1,0,NA
780,"Grasse 2016","Austria","2010-2015","132",11.04,1,1,NA
780,"Grasse 2016","Austria","2010-2015","132",11.04,1,0,NA
780,"Grasse 2016","Austria","2010-2015","177",14.74,1,1,NA
780,"Grasse 2016","Austria","2010-2015","178",14.81,1,0,NA
780,"Grasse 2016","Austria","2010-2015","207",17.27,1,1,NA
780,"Grasse 2016","Austria","2010-2015","313",26.1,1,0,NA
780,"Grasse 2016","Austria","2010-2015","344",28.64,1,0,NA
780,"Grasse 2016","Austria","2010-2015","358",29.81,1,0,NA
780,"Grasse 2016","Austria","2010-2015","388",32.34,1,0,NA
780,"Grasse 2016","Austria","2010-2015","418",34.87,1,1,NA
603,"Danilova 2006","Arkhangelska, Russia","603","24",2,61,56,0.918
603,"Danilova 2006","Arkhangelska, Russia","603","48",4,66,63,0.954
603,"Danilova 2006","Bergen, Norway","603","24",2,41,41,0.911
603,"Danilova 2006","Bergen, Norway","603","48",4,40,40,0.784
755,"Weston 2011","USA","2009","1",0.08,1386,1358,0.98
755,"Weston 2011","USA","2009","12",1,1386,1331,0.96
755,"Weston 2011","USA","2009","36",3,1386,1311,0.946
