,1-Cambridge & Charleston,"2-Colchester, England",3-St. John's Green School,4-Barrack Street School,5-North Street,6-Kendall Road School,7-Goole,8-BaltimoreMD-1944,9-MaconGA-1959,10-PlainviewTX-1960,11-SanAntonio-1970,12-AustinTX-1970,13-ElginTX-1970,14-HodeidaYemen-1982,15-JianglingChina-1988,16-Georgia-1993,17-BuriRamThailand-1996,18-Kimba-2011,19-Kerela-2016,20-Haiti-2016,21-Yemen,22-Lesotho,23-Isleworth,"24-Cali, Colombia"
Ref_index,64,675,675,675,675,675,335,69,68,12,NA,NA,220,NA,350,529,NA,NA,571,NA,WHO,11,690,269
Location,Cambridge & Charleston,"Colchester, England","Colchester, England","Colchester, England","Colchester, England","Colchester, England",Goole,"Baltimore, MD","Macon, GA","Plainview, TX","San Antonio, TX","Austin, TX","Elgin, TX","Hodeida, Yemen","Jiangling, China",Rep of Georgia,"Buri Ram, Thailand",Kimba,Kerela,Haiti,Yemen,Lesotho,"Isleworth, England","Cali, Colombia"
Location_sub,NA,NA,St. John's Green School,Barrack Street School,North Street,Kendall Road School,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Batumi Hospital, Rep of Georgia",NA,NA,NA,NA,NA,NA,Percy House,NA
Year.start,1900,1901,1901,1901,1901,1901,1901,1944,1959,1960,1970,1970,1970,1982,1988,1993,1996,2011,2016,2016,2017-2018,1989,1906,2000
Note,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N=310,NA,NA,NA,NA,NA,Vacc among cases: 0.089; Vacc among district pop: 0.937,Week 40+,NA,NA,NA,NA
Link,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1915203/,NA,NA,NA,NA,https://watermark.silverchair.com/21-4-807.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAbgwggG0BgkqhkiG9w0BBwagggGlMIIBoQIBADCCAZoGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMCV0mg5EESRgqfIZRAgEQgIIBaxmJQEWRL41pSQNpvQ2ws0LsKWSgXNNJoSdBlRiljxTzI6EDzF6v_Hqi_YdXpD_Mj9m22VlcHaH1wmo-MANTCzz4JKg8KnEEutPsBxlmcNkh4rkXA8hRIQQHNFP6iSRh2DKt7VQ9CHcQs3AcABtoLXcIWID8iBOSEBCDBEF03HYqQ92Lnc4FY_QC3YPMF2sKg7Wk4dk-qwCiO_XHZ40co0QVQ1RsHEdondep5n1peHEcQM5eB_GItRwiskyg0dzyL1qWzUfg78AcKVnNBMhZIqkCkrjOrn62SiJJSTZ_eg7TSIaeZSQ6gIv5HIABn1LAYVcSXbujEnLaQa2JBEIDIfcKD1kMX52YP4xVgtJJHMAVURq9Anv84c52sQ8ptb0CCZqLiCPNSdbz7eNwEhmIYG_aAErLsiajuHV1-SI2Lb0KcMCE18caHkZ4ha8kjbYbWdo60CNTs-gww5PCRVorKy4WtQXpi9Lb8WwHlg,https://ac-els-cdn-com.ezp.welch.jhmi.edu/S0140673694924910/1-s2.0-S0140673694924910-main.pdf?_tid=c412b105-2a08-4b41-8112-60eab00bf4a3&acdnat=1526933309_aeff742942233cb2768af2154e02fa36,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.596.2901&rep=rep1&type=pdf,https://www.cambridge.org/core/journals/epidemiology-and-infection/article/diphtheria-outbreak-with-high-mortality-in-northeastern-nigeria/4B487BE6CEA3C0B7217A2B59932E3017/core-reader,https://www.frontiersin.org/articles/10.3389/fpubh.2017.00218/full,https://www.medbox.org/epidemiological-update-diphtheria-15-december-2017/download.pdf; Vacc: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5676636/,http://www.who.int/csr/don/22-december-2017-diphtheria-yemen/en/,NA,https://ac.els-cdn.com/S0140673601529827/1-s2.0-S0140673601529827-main.pdf?_tid=532953bc-2525-4324-91ca-1bf9265e22d4&acdnat=1527188032_2189d00ee3607a381b054ae962d797bb,Refs
use_schick,1,1,1,1,1,1,1,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,1,0
est_Vs_from_cases,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0
est_Vs,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
NoATB,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
V_3,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0,0.794,0.33,0.33,NA,0.67,0.053,0.878,0.54,0.87,0.01,0.9,0.6,0.71,0.93,0.77,0.75
V_1&2,0,0,0,0,0,0,0,0.85,0.117471074,0.121338583,0.303313286,NA,0.297,0.630318328,NA,0.23,0.099799044,0.053147428,0.003290415,0.2,0.05,0.05,0,0.16
V_0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.15,0.088528926,0.548661417,0.366686714,NA,0.033,0.316681672,0.122,0.23,0.030200956,0.936852572,0.096709585,0.2,0.24,0.02,0.23,0.09
V3_cases,NA,NA,NA,NA,NA,NA,NA,0,0,0.107142857,0.26,NA,NA,0.11,NA,NA,0.10619469,0,0.116,NA,NA,NA,NA,NA
V2_cases,NA,NA,NA,NA,NA,NA,NA,0.63,0.5,0.142857143,0.384,NA,NA,0.6,NA,NA,0.713495575,0.041,0.025,NA,NA,NA,NA,NA
V0_cases,NA,NA,NA,NA,NA,NA,NA,0.37,0.5,0.75,0.356,NA,NA,0.29,NA,NA,0.17699115,0.959,0.86,NA,NA,NA,NA,NA
V_source,Schick est,Schick est,Schick est,Schick est,Schick est,Schick est,Schick est,Calc from 63% cases vacc (1 dose),Survey,Cases,Cases,NA,Complete Pop,"Ave V from WHO, 1980-1985",NA,WHO est,Cases & WHO,Cases,Cases,WHO,WHO,WHO,NA,WHO
Peak_week,2,23,7,NA,9,5,7,10,5,5,32,8,3,13,4,12,6,26,7,10,23,2,2,NA
