,1-Rohingya,"2-Souix City, IA",3-Alabama
Ref_index,NA,74,48
Location,Rohingya,"Souix City, IA",Alabama
Year.start,2017,1962,1967
Note,NA,NA,NA
Link,NA,NA,NA
use_schick,0,0,NA
est_Vs_from_cases,0,0,NA
est_Vs,1,1,NA
NoATB,0,0,
ATB_prop,,1,
V_3,0,0.91,NA
V_1&2,0,0.04,NA
V_0,1,0.05,NA
V3_cases,NA,NA,NA
V2_cases,NA,NA,NA
V0_cases,NA,NA,NA
V_source,https://www.msf.org/sites/msf.org/files/coxsbazar_healthsurveyreport_dec2017_final1.pdf,NA,NA
Peak_day,32,5,2
Day 0,1,1,1
Day 1,0,2,0
Day 2,0,0,0
Day 3,0,0,0
Day 4,1,1,0
Day 5,0,6,0
Day 6,0,0,0
Day 7,1,1,0
Day 8,1,1,0
Day 9,0,0,0
Day 10,0,2,0
Day 11,0,0,0
Day 12,4,1,0
Day 13,0,0,0
Day 14,1,1,0
Day 15,2,1,0
Day 16,2,1,1
Day 17,6,0,0
Day 18,8,NA,0
Day 19,4,NA,0
Day 20,8,NA,0
Day 21,9,NA,1
Day 22,20,NA,0
Day 23,34,NA,0
Day 24,35,NA,1
Day 25,68,NA,0
Day 26,49,NA,0
Day 27,80,NA,0
Day 28,107,NA,0
Day 29,124,NA,0
Day 30,122,NA,2
Day 31,115,NA,0
Day 32,134,NA,0
Day 33,102,NA,0
Day 34,127,NA,0
Day 35,139,NA,0
Day 36,141,NA,0
Day 37,98,NA,0
Day 38,100,NA,0
Day 39,106,NA,0
Day 40,133,NA,0
Day 41,111,NA,1
Day 42,112,NA,0
Day 43,98,NA,0
Day 44,85,NA,0
Day 45,65,NA,0
Day 46,37,NA,0
Day 47,34,NA,0
Day 48,1,NA,0
Day 49,0,NA,1
Day 50,NA,NA,0
Day 51,NA,NA,1
Day 52,NA,NA,0
Day 53,NA,NA,0
Day 54,NA,NA,1
Day 55,NA,NA,1
Day 56,NA,NA,0
Day 57,NA,NA,0
Day 58,NA,NA,1
Day 59,NA,NA,0
Day 60,NA,NA,1
Day 61,NA,NA,0
Day 62,NA,NA,0
Day 63,NA,NA,0
Day 64,NA,NA,0
Day 65,NA,NA,0
Day 66,NA,NA,0
Day 67,NA,NA,0
Day 68,NA,NA,0
Day 69,NA,NA,1
Day 70,NA,NA,0
Day 71,NA,NA,1
Day 72,NA,NA,0
Day 73,NA,NA,0
Day 74,NA,NA,0
Day 75,NA,NA,0
Day 76,NA,NA,0
Day 77,NA,NA,0
Day 78,NA,NA,0
Day 79,NA,NA,1
Day 80,NA,NA,0
Day 81,NA,NA,0
Day 82,NA,NA,0
Day 83,NA,NA,1
Day 84,NA,NA,1
Day 85,NA,NA,0
Day 86,NA,NA,0
Day 87,NA,NA,0
Day 88,NA,NA,0
Day 89,NA,NA,0
Day 90,NA,NA,0
Day 91,NA,NA,0
Day 92,NA,NA,0
Day 93,NA,NA,0
Day 94,NA,NA,0
Day 95,NA,NA,0
Day 96,NA,NA,0
Day 97,NA,NA,0
Day 98,NA,NA,0
Day 99,NA,NA,0
Day 100,NA,NA,0
Day 101,NA,NA,0
Day 102,NA,NA,0
Day 103,NA,NA,0
Day 104,NA,NA,0
Day 105,NA,NA,0
Day 106,NA,NA,0
Day 107,NA,NA,0
Day 108,NA,NA,0
Day 109,NA,NA,0
Day 110,NA,NA,1
Day 111,NA,NA,NA
Day 112,NA,NA,NA
Day 113,NA,NA,NA
Day 114,NA,NA,NA
Day 115,NA,NA,NA
Day 116,NA,NA,NA
Day 117,NA,NA,NA
Day 118,NA,NA,NA
Day 119,NA,NA,NA
Day 120,NA,NA,NA
