"Location","Ref_index","Study","Immunization.Status","Severe","Moderate","Not.Severe..mild.","Prop.Severe","Lower.CI","Upper.CI","Percent.Severe","Percent.Lower.CI","Percent.Upper.CI","Study.Size","Weighting"
"San Antonio",356,"Marcuse & Grand 1973","Full",5,31,10,0.109,0.019,0.199,10.87,1.875,19.864,181,0.06137673788
"San Antonio",356,"Marcuse & Grand 1973","Imperfect",10,54,9,0.137,0.058,0.216,13.699,5.811,21.586,181,0.06137673788
"San Antonio",356,"Marcuse & Grand 1973","None",6,42,14,0.097,0.023,0.17,9.677,2.318,17.037,181,0.06137673788
"Russia",NA,"Vitek et al. 2000","Full",30,NA,595,0.048,0.031,0.065,4.8,3.124,6.476,776,0.2631400475
"Russia",NA,"Vitek et al. 2000","Imperfect",18,NA,64,0.22,0.13,0.309,21.951,12.992,30.91,776,0.2631400475
"Russia",NA,"Vitek et al. 2000","None",21,NA,48,0.304,0.196,0.413,30.435,19.578,41.292,776,0.2631400475
"Coseley",75,"Lycett &  George 1953","Full",1,NA,6,0.143,-0.116,0.402,14.286,0,40.209,108,0.03662258393
"Coseley",75,"Lycett &  George 1953","Imperfect",2,NA,8,0.2,-0.048,0.448,20,0,44.792,108,0.03662258393
"Coseley",75,"Lycett &  George 1953","None",19,NA,72,0.209,0.125,0.292,20.879,12.528,29.23,108,0.03662258393
"Alabama",NA,"SINCLAIR et al 1971","Full",0,NA,2,0,0,0,0,0,0,19,0.006442861987
"Alabama",NA,"SINCLAIR et al 1971","Imperfect",0,NA,6,0,0,0,0,0,0,19,0.006442861987
"Alabama",NA,"SINCLAIR et al 1971","None",7,NA,4,0.636,0.352,0.921,63.636,35.208,92.064,19,0.006442861987
"Latvia",NA,"Kantsone et al","Full",20,NA,398,0.048,0.027,0.068,4.785,2.738,6.831,1426,0.483553747
"Latvia",NA,"Kantsone et al","None",289,NA,719,0.287,0.259,0.315,28.671,25.879,31.462,1426,0.483553747
"Chicago",NA,"Kallick 1970","Full",0,3,4,0,0,0,0,0,0,18,0.006103763988
"Chicago",NA,"Kallick 1970","Imperfect",0,0,2,0,0,0,0,0,0,18,0.006103763988
"Chicago",NA,"Kallick 1970","None",4,3,2,0.444,0.12,0.769,44.444,11.98,76.909,18,0.006103763988
"Dominca Republic",244,"Garib 2015","Full",0,3,4,0,0,0,0,0,0,8,0.002712783995
"Manchester, UK",250,"BUTTERWORTH et al 1974","Full",0,0,0,0,0,0,0,0,0,9,0.003051881994
"Manchester, UK",250,"BUTTERWORTH et al 1974","Imperfect",0,0,1,0,0,0,0,0,0,9,0.003051881994
"Manchester, UK",250,"BUTTERWORTH et al 1974","None",3,2,3,0.375,0.04,0.71,37.5,3.952,71.048,9,0.003051881994
"Plainview, TX",12,"Doege 1963","Full",0,NA,6,0,0,0,0,0,0,56,0.01898948796
"Plainview, TX",12,"Doege 1963","Imperfect",0,NA,8,0,0,0,0,0,0,56,0.01898948796
"Plainview, TX",12,"Doege 1963","None",11,NA,31,0.262,0.129,0.395,26.19,12.893,39.488,56,0.01898948796
"Esher, England",66,"Fanning 1947","Full",2,0,1,0.667,0.133,1.2,66.667,13.322,100,14,0.004747371991
"Esher, England",66,"Fanning 1947","Imperfect",1,3,6,0.1,-0.086,0.286,10,0,28.594,14,0.004747371991
"Esher, England",66,"Fanning 1947","None",1,0,0,1,1,1,100,100,100,14,0.004747371991
"Coppenhagen",720,"Ammundsen 1947","None",59,137,72,0.22,0.171,0.27,22.015,17.054,26.976,342,0.1159715158
"Coppenhagen",720,"Ammundsen 1947","Imperfect",2,27,20,0.041,-0.015,0.096,4.082,0,9.622,342,0.1159715158
"Coppenhagen",720,"Ammundsen 1947","Full",2,4,19,0.08,-0.026,0.186,8,0,18.635,342,0.1159715158
