"Year","Cases","DTP3"
1980,97288,26.27
1981,74576,31.36
1982,61016,35.31
1983,51186,49.15
1984,47118,54.24
1985,43728,63.28
1986,39169,63.56
1987,29152,66.38
1988,32542,70.62
1989,30508,79.94
1990,23728,83.05
1991,24745,81.36
1992,21016,81.07
1993,31186,81.36
1994,54915,82.2
1995,56949,81.92
1996,28813,82.77
1997,14915,82.2
1998,7457,81.36
1999,4745,73.45
2000,11525,74.29
2001,10847,73.16
2002,9152,76.27
2003,7118,78.81
2004,10169,80.23
2005,8135,80.79
2006,4067,84.46
2007,4745,84.18
2008,5084,84.46
2009,4406,86.72
2010,4745,88.42
2011,5423,89.27
2012,4406,88.42
2013,4745,87.85
2014,7796,89.55
2015,4745,87.29
2016,7118,89.27
